Date,Open,High,Low,Close,Volume,Adj Close
10-07-2012,617.97,619.87,605.31,608.21,127989400,82.64
11-07-2012,606.12,607.66,597.22,604.43,117330500,82.12
12-07-2012,600.24,603.47,592.68,598.9,107010400,81.37
13-07-2012,602.95,607.19,600,604.97,77856800,82.2
16-07-2012,605.12,611.62,605.02,606.91,75315100,82.46
17-07-2012,610.79,611.5,603.15,606.94,73406200,82.46
18-07-2012,606.59,608.34,603.56,606.26,63175000,82.37
19-07-2012,611.28,615.35,606,614.32,109215400,83.47
20-07-2012,613.03,614.44,603.7,604.3,99367800,82.11
23-07-2012,594.4,605.9,587.71,603.83,121993900,82.04
24-07-2012,607.38,609.68,598.51,600.92,141283100,81.65
25-07-2012,574.46,580.8,570,574.97,219328200,78.12
26-07-2012,579.76,580.4,570.36,574.88,101658200,78.11
27-07-2012,575.01,585.83,571.59,585.16,100984100,79.51
30-07-2012,590.92,599.44,587.82,595.03,94785600,80.85
31-07-2012,603.23,611.7,602.72,610.76,115581900,82.98
01-08-2012,615.91,616.4,603,606.81,96125400,82.45
02-08-2012,602.84,610.69,600.25,607.79,83039600,82.58
03-08-2012,613.63,617.98,611.56,615.7,86230200,83.65
06-08-2012,617.29,624.87,615.26,622.55,75525800,84.59
07-08-2012,622.77,625,618.04,620.91,72611700,84.36
08-08-2012,619.39,623.88,617.1,619.86,61176500,84.22
09-08-2012,617.85,621.73,617.8,620.73,55410600,84.7
10-08-2012,618.71,621.76,618.7,621.7,48734700,84.83
13-08-2012,623.39,630,623.25,630,69708100,85.97
14-08-2012,631.87,638.61,630.21,631.69,85042300,86.2
15-08-2012,631.3,634,627.75,630.83,64335600,86.08
16-08-2012,631.21,636.76,630.5,636.34,63633500,86.83
17-08-2012,640,648.19,638.81,648.11,110690300,88.44
20-08-2012,650.01,665.15,649.9,665.15,153346200,90.76
21-08-2012,670.82,674.88,650.33,656.06,203179900,89.52
22-08-2012,654.42,669,648.11,668.87,141330700,91.27
23-08-2012,666.11,669.9,661.15,662.63,105032200,90.42
24-08-2012,659.51,669.48,655.55,663.22,109335100,90.5
27-08-2012,679.99,680.87,673.54,675.68,106752100,92.2
28-08-2012,674.98,676.1,670.67,674.8,66854200,92.08
29-08-2012,675.25,677.67,672.6,673.47,50701700,91.9
30-08-2012,670.64,671.55,662.85,663.87,75674900,90.59
31-08-2012,667.25,668.6,657.25,665.24,84580300,90.77
04-09-2012,665.76,675.14,664.5,674.97,91973000,92.1
05-09-2012,675.57,676.35,669.6,670.23,84093800,91.45
06-09-2012,673.17,678.29,670.8,676.27,97799100,92.28
07-09-2012,678.05,682.48,675.77,680.44,82416600,92.85
10-09-2012,680.45,683.29,662.1,662.74,121999500,90.43
11-09-2012,665.11,670.1,656.5,660.59,125995800,90.14
12-09-2012,666.85,669.9,656,669.79,178058300,91.39
13-09-2012,677.37,685.5,674.77,682.98,149590000,93.19
14-09-2012,689.96,696.98,687.89,691.28,150118500,94.33
17-09-2012,699.35,699.8,694.61,699.78,99507800,95.49
18-09-2012,699.88,702.33,696.42,701.91,93375800,95.78
